,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
35406,spotify:track:5uCax9HTNlzGybIStD3vDh,0.695,0.494,0.358,0.557,10,0.0,0.0902,-7.398,0.059,85.043,211467,s
35407,spotify:track:5xQ1yxKzTuPcSNO9FP0lNS,0.873,0.381,0.461,0.195,10,0.0,0.11,-7.301,0.0352,110.193,170831,s
35408,spotify:track:3cWI6Hj9LQ0MfMuhw9uSMc,0.932,0.0976,0.386,0.136,6,0.0,0.0653,-9.267,0.0458,67.016,225853,s
35409,spotify:track:0VhgEqMTNZwYL1ARDLLNCX,0.308,0.479,0.696,0.543,11,0.0,0.0939,-6.164,0.0489,107.969,246880,s
35410,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.536,0.236,0.522,0.385,0,0.0,0.135,-7.355,0.0288,89.792,207520,s
35411,spotify:track:2wHA4yJKT8TJhGz20QxUqX,0.402,0.319,0.536,0.317,6,0.0,0.11,-8.752,0.0359,143.89,194659,s
35412,spotify:track:7tTRP2vA00uScZ4SjB3ZQZ,0.565,0.38,0.631,0.609,1,0.0,0.635,-7.394,0.0886,119.636,198351,s
35413,spotify:track:55pPOqYfYXwR3UmyhztOKU,0.966,0.139,0.289,0.0993,5,7.99e-05,0.112,-14.444,0.036,188.401,262197,s
35414,spotify:track:5kqIPrATaCc2LqxVWzQGbk,0.287,0.34,0.765,0.473,10,0.0,0.391,-5.829,0.0514,119.992,237300,s
35415,spotify:track:5TvE3pk05pyFIGdSY9j4DJ,0.857,0.0765,0.407,0.147,2,2.89e-06,0.0913,-8.822,0.0355,141.284,229400,s
35416,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.163,0.168,0.599,0.448,8,0.0,0.106,-6.312,0.0232,95.05,263400,s
35417,spotify:track:2JzZzZUQj3Qff7wapcbKjc,0.369,0.283,0.689,0.481,10,1.03e-06,0.0649,-7.503,0.0815,80.025,229526,s
35418,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,0.947,0.247,0.41,0.0485,0,0.0,0.108,-13.918,0.038,137.97,173175,s
35419,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.687,0.18,0.492,0.275,6,0.0,0.101,-13.4,0.3,92.6,251034,s
35420,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.588,0.184,0.418,0.42,0,6.39e-05,0.11,-6.444,0.0414,84.094,172724,s
35421,spotify:track:7og4nJ1NCle7JUsT1FfsTt,0.425,0.234,0.67,0.548,1,0.0,0.0926,-8.963,0.325,134.87,263111,s
35422,spotify:track:38nKfxyRrjYfx0ODX1W5yB,0.591,0.25,0.613,0.347,5,0.0,0.0959,-6.486,0.034,109.764,224144,s
35423,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.591,0.781,0.445,2,0.0,0.184,-6.061,0.0295,78.998,281560,s
35424,spotify:track:3mMx7ufSH0zOxoxQWbhdqv,0.177,0.408,0.601,0.582,0,0.0,0.162,-8.227,0.0674,119.969,185130,s
35425,spotify:track:0OCRwXbQRdOZ1OtB4Imsp1,0.172,0.265,0.538,0.409,9,0.0,0.11,-6.581,0.0505,171.838,205440,s
35426,spotify:track:2N8F9mupXs9oyCLeerRfCw,0.842,0.0754,0.331,0.145,2,2.17e-06,0.108,-8.956,0.0379,33.259,227173,s
35427,spotify:track:16dkWKIlBsfYTISCVuDs0w,0.0882,0.346,0.484,0.573,5,1.14e-06,0.15,-6.183,0.0298,139.966,219480,s
35428,spotify:track:5JDcQAztvZTIkrWoZihgvC,0.785,0.564,0.447,0.393,5,0.0,0.28,-8.65,0.038,73.139,220239,s
35429,spotify:track:5j78Z4yl0xJ4g3eTkryqen,0.911,0.381,0.601,0.317,10,0.0,0.181,-8.945,0.0497,137.95,203263,s
35430,spotify:track:60wa5J6SkXtBXHySQ3PoNB,0.855,0.412,0.461,0.29,1,0.0,0.103,-7.999,0.0349,144.739,194547,s
35431,spotify:track:6MLHg35rlksBc5OBcdZvJi,0.736,0.408,0.387,0.234,0,0.0,0.084,-8.861,0.0373,78.65,230353,s
35432,spotify:track:1FDV80LC5JnTDAEjPDovER,0.439,0.386,0.451,0.452,1,0.0,0.478,-9.363,0.0574,57.523,190619,s
35433,spotify:track:2cJS4uSqiNCeH4CgOt9LNA,0.581,0.309,0.597,0.425,2,0.0,0.1,-5.513,0.0295,119.998,201251,s
35434,spotify:track:52okn5MNA47tk87PeZJLEL,0.312,0.464,0.662,0.714,5,0.0,0.179,-5.68,0.121,147.997,212120,s
35435,spotify:track:1Xi84slp6FryDSCbzq4UCD,0.818,0.266,0.45,0.329,9,0.00109,0.135,-12.603,0.0441,71.884,183624,s
35436,spotify:track:07FkzikE6FuHIa8Ma7zJGc,0.161,0.179,0.513,0.661,5,0.0,0.246,-6.419,0.24,94.791,209213,s
35437,spotify:track:24qOlCdUSSU6ungmY6fZmi,0.278,0.392,0.659,0.451,10,0.0,0.0889,-8.16,0.032,101.99,174280,s
35438,spotify:track:5rFj8OzffT0iggSjcBaeND,0.476,0.341,0.584,0.407,1,0.0,0.18,-7.356,0.046,115.124,246735,s
35439,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,0.64,0.476,0.681,0.372,5,0.0,0.169,-8.237,0.0432,91.873,201000,s
35440,spotify:track:7E36KTd5Wcf3t3I4hmcSvK,0.55,0.158,0.639,0.411,2,0.0,0.141,-5.979,0.042,96.965,180120,s
35441,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.387,0.612,0.28,0,0.0,0.088,-8.648,0.0434,72.795,213827,s
35442,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.634,0.437,0.566,0.664,4,0.0,0.116,-5.303,0.0464,128.945,241688,s
35443,spotify:track:3EPXxR3ImUwfayaurPi3cm,0.697,0.443,0.553,0.586,11,0.0,0.0813,-6.319,0.0362,126.684,196373,s
35444,spotify:track:7lGKEWMXVWWTt3X71Bv44I,0.178,0.199,0.389,0.665,0,0.000732,0.116,-6.169,0.0644,117.055,193547,s
35445,spotify:track:2BlM00LsKY0pFKEChrQa9Y,0.734,0.138,0.56,0.315,10,1.26e-06,0.105,-8.532,0.05,78.06,260852,s
35446,spotify:track:6QhB4cwTarnpTb4dvXzuoD,0.117,0.195,0.252,0.292,3,0.359,0.414,-12.303,0.0282,95.405,267160,s
35447,spotify:track:1kFlDnWmBTvCBxxeGDpIdp,0.227,0.439,0.811,0.609,10,0.0,0.102,-8.376,0.0996,120.071,134197,s
35448,spotify:track:0aIW3ekrhK1eh3BYCh11op,0.824,0.261,0.543,0.333,7,3.87e-06,0.168,-9.355,0.0272,109.789,198573,s
35449,spotify:track:5zCunX8URvLoBHlg1Fnjv6,0.954,0.298,0.418,0.248,3,4.21e-06,0.108,-9.997,0.0451,130.953,243007,s
35450,spotify:track:7eJMfftS33KTjuF7lTsMCx,0.731,0.348,0.726,0.431,8,0.0,0.696,-8.765,0.135,144.026,173333,s
35451,spotify:track:3qWZuhWi4lsHa7jUwhqfMr,0.872,0.377,0.802,0.414,7,0.0,0.0863,-10.635,0.0776,131.952,195066,s
35452,spotify:track:1fmPvEu7fVUL8Png48XMGj,0.945,0.128,0.28,0.122,0,7.86e-06,0.117,-10.865,0.0478,181.331,223120,s
35453,spotify:track:3KbFtYPyVP6C7BQVgH2cCf,0.904,0.402,0.561,0.245,1,0.0,0.0933,-6.372,0.0344,109.558,212280,s
